bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
65.0,5834.0,5785.0,49.0,99.16009598902983,0.839904010970173,379245.0,372179.0,7066.0,64.72025430478317,84.15912339209147,19.438869087308305,52.671808661194454
66.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,385080.0,377964.0,7116.0,65.7262397879866,84.75464506908051,19.02840528109391,53.11467116357504
67.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,390914.0,383758.0,7156.0,66.73379033071447,85.23106241067175,18.497272079957284,53.627445500279485
68.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,396749.0,389556.0,7193.0,67.74203645545319,85.67174845164364,17.92971199619045,54.157653274016404
69.0,5834.0,5792.0,42.0,99.28008227631128,0.7199177236887238,402583.0,395348.0,7235.0,68.74923920717562,86.17198666031443,17.42274745313881,54.64381478921907
70.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,408418.0,401146.0,7272.0,69.75748533191435,86.61267270128633,16.855187369371976,55.16309130913091
71.0,5834.0,5787.0,47.0,99.19437778539596,0.8056222146040426,414252.0,406933.0,7319.0,70.76381860612321,87.17246307765603,16.408644471532824,55.59953545566334
72.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,420087.0,412728.0,7359.0,71.77154304435379,87.64888041924726,15.877337374893472,56.08479412963718
73.0,5834.0,5796.0,38.0,99.34864586904354,0.651354130956463,425921.0,418524.0,7397.0,72.77944137808709,88.10147689375893,15.322035515671843,56.58023523049885
74.0,5835.0,5799.0,36.0,99.38303341902314,0.6169665809768645,431756.0,424323.0,7433.0,73.78786139832852,88.53025250119104,14.742391102862527,57.08637158616978
75.0,5834.0,5792.0,42.0,99.28008227631128,0.7199177236887238,437590.0,430115.0,7475.0,74.79506415005095,89.03049070986184,14.23542655981089,57.540468227424746
76.0,5835.0,5802.0,33.0,99.43444730077121,0.5655526992287889,443425.0,435917.0,7508.0,75.80400585680053,89.4235350166746,13.619529159874077,58.06033564198189
77.0,5835.0,5801.0,34.0,99.41730934018852,0.582690659811476,449260.0,441718.0,7542.0,76.8127736680474,89.82848975702716,13.015716088979758,58.56775391142933
78.0,5834.0,5786.0,48.0,99.17723688721289,0.8227631127871149,455094.0,447504.0,7590.0,77.81893304675354,90.40019056693663,12.581257520183087,58.9596837944664
79.0,5835.0,5792.0,43.0,99.2630676949443,0.7369323050557028,460929.0,453296.0,7633.0,78.82613579847597,90.91233920914722,12.086203410671246,59.38634874885366
80.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,466763.0,459089.0,7674.0,79.83351244570113,91.40066698427823,11.5671545385771,59.82395100338806
81.0,5835.0,5787.0,48.0,99.17737789203085,0.8226221079691527,472598.0,464876.0,7722.0,80.83984571990999,91.9723677941877,11.132522074277716,60.2015022015022
82.0,5834.0,5789.0,45.0,99.22865958176209,0.7713404182379122,478432.0,470665.0,7767.0,81.84652678512428,92.50833730347784,10.661810518353562,60.598043002446246
83.0,5835.0,5786.0,49.0,99.16023993144816,0.8397600685518398,484267.0,476451.0,7816.0,82.85268616383043,93.09194854692711,10.239262383096687,60.95841862845445
84.0,5834.0,5792.0,42.0,99.28008227631128,0.7199177236887238,490101.0,482243.0,7858.0,83.85988891555287,93.59218675559791,9.732297840045035,61.369686943242556
85.0,5835.0,5797.0,38.0,99.34875749785776,0.6512425021422388,495936.0,488040.0,7896.0,84.86796114478888,94.04478323010957,9.176822085320694,61.808510638297875
86.0,5834.0,5797.0,37.0,99.36578676722661,0.6342132327733907,501770.0,493837.0,7933.0,85.87603337402489,94.48546927108147,8.609435897056585,62.250976931803855
87.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,507605.0,499621.0,7984.0,86.8818449617256,95.09290138161029,8.211056419884684,62.577780561122246
88.0,5835.0,5790.0,45.0,99.22879177377892,0.7712082262210771,513440.0,505411.0,8029.0,87.88869992244261,95.62887089090043,7.740170968457818,62.948187819155564
89.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,519274.0,511204.0,8070.0,88.89607656966776,96.11719866603144,7.221122096363686,63.34622057001239
90.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,525109.0,516997.0,8112.0,89.9034532168929,96.61743687470224,6.713983657809337,63.732371794871796
91.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,530943.0,522798.0,8145.0,90.91222102813977,97.010481181515,6.098260153375236,64.18637200736649
92.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,536778.0,528596.0,8182.0,91.92046715287849,97.4511672224869,5.5307000696084145,64.60474211684185
93.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,542612.0,534400.0,8212.0,92.92975665063351,97.80848022868032,4.8787235780468166,65.07549926936191
94.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,548447.0,540196.0,8251.0,93.93765498436679,98.27298713673177,4.335332152364984,65.47036722821476
95.0,5834.0,5805.0,29.0,99.50291395269112,0.4970860473088834,554281.0,546001.0,8280.0,94.94711837762452,98.61838970938543,3.671271331760906,65.94214975845411
96.0,5835.0,5815.0,20.0,99.65724078834619,0.3427592116538136,560116.0,551816.0,8300.0,95.95832072590939,98.85659838018104,2.898277654271652,66.48385542168674
97.0,5834.0,5807.0,27.0,99.53719574905725,0.462804250942753,565950.0,557623.0,8327.0,96.96813191017254,99.17818008575512,2.210048175582571,66.9656538969617
98.0,5835.0,5812.0,23.0,99.60582690659811,0.3941730934018892,571785.0,563435.0,8350.0,97.97881257194926,99.45212005717008,1.4733074852208148,67.47724550898204
99.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,577619.0,569239.0,8380.0,98.98810206970427,99.8094330633635,0.821330993659231,67.9282816229117
100.0,5835.0,5819.0,16.0,99.72579263067695,0.2742073693230509,583454.0,575058.0,8396.0,100.0,100.0,0.0,68.49190090519295
