bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
82.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,136524.0,134344.0,2180.0,81.86366212288324,91.36630343671416,9.502641313830921,61.62568807339449
83.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,138189.0,135998.0,2191.0,82.87154112865386,91.82732606873428,8.95578494008042,62.071200365130075
84.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,139854.0,137647.0,2207.0,83.87637334178311,92.49790444258173,8.62153110079862,62.36837335749887
85.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,141519.0,139295.0,2224.0,84.88059619638406,93.21039396479463,8.329797768410572,62.63264388489208
86.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,143184.0,140951.0,2233.0,85.88969391921124,93.58759430008382,7.697900380872582,63.1218092252575
87.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,144849.0,142604.0,2245.0,86.89696356645359,94.09052808046941,7.193564514015819,63.5207126948775
88.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,146514.0,144257.0,2257.0,87.90423321369595,94.59346186085499,6.689228647159041,63.91537439078423
89.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,148179.0,145917.0,2262.0,88.91576837063623,94.80301760268232,5.887249232046088,64.5079575596817
90.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,149844.0,147570.0,2274.0,89.92303801787858,95.30595138306789,5.38291336518931,64.89445910290237
91.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,151509.0,149224.0,2285.0,90.9309170236492,95.76697401508801,4.836056991438809,65.30590809628009
92.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,153174.0,150873.0,2301.0,91.93574923677845,96.43755238893546,4.501803152157009,65.5684485006519
93.0,1664.0,1654.0,10.0,99.39903846153847,0.600961538461533,154838.0,152527.0,2311.0,92.94362824254907,96.8566638725901,3.913035630041037,66.00043271311121
94.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,156503.0,154185.0,2318.0,93.9539446824328,97.15004191114836,3.1960972287155585,66.51639344262296
95.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,158168.0,155840.0,2328.0,94.9624330467317,97.56915339480302,2.6067203480713204,66.94158075601375
96.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,159833.0,157494.0,2339.0,95.97031205250234,98.03017602682314,2.0598639743208054,67.33390337751176
97.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,161498.0,159151.0,2347.0,96.9800191338578,98.36546521374686,1.3854460798890642,67.81039625053259
98.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,163163.0,160802.0,2361.0,97.98607006404359,98.95222129086336,0.9661512268197754,68.10758153324862
99.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,164828.0,162452.0,2376.0,98.9915116357011,99.58088851634535,0.5893768806442523,68.37205387205387
100.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,166493.0,164107.0,2386.0,100.0,100.0,0.0,68.77912824811399
